"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","siteName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","locationPrecision"
"1791","37","SG-0816BBBK03C3","SENSORGNOME","3348","active","Napanee LOSH","Napanee LOSH","2016-08-09 23:22:00 +00:00","","1470784920","","44.34890000","-76.89080000","","false","0","Exact"
"1796","37","SG-3615BBBK2024","SENSORGNOME","3357","terminated","Carden LOSH","Carden LOSH","2016-08-19 16:56:00 +00:00","2017-11-23 18:30:00 +00:00","1471625760","1511461800","44.60090000","-79.04640000","","false","0","Exact"
"687","38","SG-5113BBBK2677","SENSORGNOME","4048","terminated","Halfway Point","Halfway Point","2017-05-16 15:55:00 +00:00","2017-11-27 08:00:00 +00:00","1494950100","1511769600","51.87530000","-80.79730000","-4.0","false","0","Exact"
"687","38","SG-5113BBBK2677","SENSORGNOME","3097","terminated","Longridge","Longridge","2016-05-17 00:00:00 +00:00","2016-12-01 00:00:00 +00:00","1463443200","1480550400","51.82440000","-80.69090000","","false","0","Exact"
"687","38","SG-5113BBBK2677","SENSORGNOME","1134","terminated","Longridge","Longridge","2014-07-16 00:00:00 +00:00","2014-11-06 00:00:00 +00:00","1405468800","1415232000","51.82300000","-80.69110000","","false","0","Exact"
"687","38","SG-5113BBBK2677","SENSORGNOME","2285","terminated","Longridge","Longridge","2015-05-24 00:00:00 +00:00","2015-11-03 00:00:00 +00:00","1432425600","1446508800","51.82310000","-80.69120000","","false","0","Exact"
"688","38","SG-5113BBBK2802","SENSORGNOME","2289","terminated","Netitishi","Netitishi","2015-05-25 00:00:00 +00:00","2015-11-02 00:00:00 +00:00","1432512000","1446422400","51.29130000","-80.11680000","","false","0","Exact"
"688","38","SG-5113BBBK2802","SENSORGNOME","1135","terminated","Netitishi","Netitishi","2014-07-12 00:00:00 +00:00","2014-11-06 00:00:00 +00:00","1405123200","1415232000","51.29130000","-80.11670000","","false","0","Exact"
"689","38","SG-5113BBBK3105","SENSORGNOME","1136","terminated","Washiskougau Creek","Washiskogau Creek","2014-07-12 00:00:00 +00:00","2014-11-06 00:00:00 +00:00","1405123200","1415232000","51.15450000","-79.81370000","","false","0","Exact"
"690","38","SG-5113BBBK3178","SENSORGNOME","1137","terminated","Piskwamish","Piskwamish","2014-07-16 00:00:00 +00:00","2014-11-06 00:00:00 +00:00","1405468800","1415232000","51.65820000","-80.56690000","","false","0","Exact"
"690","38","SG-5113BBBK3178","SENSORGNOME","2286","terminated","Piskwamish","Piskwamish","2015-05-24 00:00:00 +00:00","2015-11-03 00:00:00 +00:00","1432425600","1446508800","51.65780000","-80.56760000","","false","0","Exact"
"693","38","SG-5113BBBK0574","SENSORGNOME","1140","terminated","North Bluff","North Bluff","2014-08-01 00:00:00 +00:00","2014-11-06 00:00:00 +00:00","1406851200","1415232000","51.48400000","-80.45000000","","false","0","Exact"
"693","38","SG-5113BBBK0574","SENSORGNOME","4222","terminated","North Bluff","North Bluff","2017-08-20 23:30:00 +00:00","2017-11-28 08:00:00 +00:00","1503271800","1511856000","51.48390000","-80.45010000","","false","0","Exact"
"1281","38","SG-2814BBBK1186","SENSORGNOME","4221","terminated","North Bluff","North Bluff","2017-08-20 23:30:00 +00:00","2017-08-20 23:30:00 +00:00","1503271800","1503271800","51.48390000","-80.45010000","","false","0","Exact"
"1281","38","SG-2814BBBK1186","SENSORGNOME","4051","terminated","North Bluff","North Bluff","2017-05-17 15:00:00 +00:00","2017-08-20 23:30:00 +00:00","1495033200","1503271800","51.48390000","-80.45010000","","false","0","Exact"
