"motusRecvID","recvProjectID","receiverID","recvDeployID","port","radioType","antennaType","bearing","magneticBearing","trueBearing","tilt","polBearing","polTilt","heightMeters","filter","cableLengthMeters","cableType","mountDistanceMeters","mountBearing","details","elevationAngle","polarization1","polarization2","deploymentStatus"
"391","1","SG-5113BBBK2661","2127","3","","yagi-9-laird","130.0","130.0","","","","","5.6","","","","","","","","","","terminated"
"391","1","SG-5113BBBK2661","3733","2","","yagi-9-laird","280.0","280.0","","","","","5.8","","","","","","","","","","terminated"
"391","1","SG-5113BBBK2661","3733","3","","yagi-9-laird","130.0","130.0","","","","","5.6","","","","","","","","","","terminated"
"391","1","SG-5113BBBK2661","3983","1","","yagi-9-laird","0.0","0.0","","","","","6.0","","","","","","","","","","active"
"391","1","SG-5113BBBK2661","3983","2","","yagi-9-laird","280.0","280.0","","","","","5.8","","","","","","","","","","active"
"391","1","SG-5113BBBK2661","3983","3","","yagi-9-laird","130.0","130.0","","","","","5.6","","","","","","","","","","active"
"392","1","SG-5113BBBK2665","673","1","","yagi-9-laird","35.0","35.0","26.668524","","","","6.0","","7.6","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","673","2","","yagi-9-laird","135.0","135.0","126.668526","","","","5.8","","7.6","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","673","3","","yagi-9-laird","265.0","265.0","256.66852","","","","5.6","","7.6","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","2002","1","","yagi-9-laird","35.0","35.0","26.65089","","","","","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","2002","2","","yagi-9-laird","135.0","135.0","126.65089","","","","","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","2002","3","","yagi-9-laird","265.0","265.0","256.65088","","","","","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","2109","1","","yagi-9-laird","35.0","35.0","26.637089","","","","6.0","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","2109","2","","yagi-9-laird","135.0","135.0","126.63709","","","","5.8","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","2109","3","","yagi-9-laird","265.0","265.0","256.6371","","","","5.6","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","3957","2","","yagi-9-laird","135.0","135.0","126.58294","","","","5.8","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","3957","3","","yagi-9-laird","265.0","265.0","256.58295","","","","5.6","","","","","","","","","","terminated"
"392","1","SG-5113BBBK2665","3958","1","","yagi-9-laird","35.0","35.0","26.570002","","","","6.0","","","","","","","","","","active"
"392","1","SG-5113BBBK2665","3958","2","","yagi-9-laird","135.0","135.0","126.57","","","","5.8","","","","","","","","","","active"
"392","1","SG-5113BBBK2665","3958","3","","yagi-9-laird","265.0","265.0","256.57","","","","5.6","","","","","","","","","","active"
"393","1","SG-5113BBBK2671","649","1","","yagi-9-laird","0.0","0.0","","","","","6.0","","7.62","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","649","2","","yagi-9-laird","240.0","240.0","","","","","5.8","","7.62","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","649","3","","yagi-9-laird","120.0","120.0","","","","","5.6","","7.62","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","1993","1","","yagi-9-laird","0.0","0.0","","","","","","","","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","1993","2","","yagi-9-laird","240.0","240.0","","","","","","","","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","1993","3","","yagi-9-laird","120.0","120.0","","","","","","","","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","2281","1","","yagi-9-laird","0.0","0.0","352.25165","","","","6.0","","","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","2281","2","","yagi-9-laird","240.0","240.0","232.25165","","","","5.8","","","","","","","","","","terminated"
"393","1","SG-5113BBBK2671","2281","3","","yagi-9-laird","120.0","120.0","112.251656","","","","5.6","","","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","677","1","","yagi-9-laird","35.0","35.0","25.979252","","","","6.0","","7.6","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","677","2","","yagi-9-laird","195.0","195.0","185.97925","","","","5.8","","7.6","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","677","3","","yagi-9-laird","105.0","105.0","95.97925","","","","5.6","","7.6","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","2111","1","","yagi-9-laird","35.0","35.0","","","","","6.0","","","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","2111","2","","yagi-9-laird","195.0","195.0","","","","","5.8","","","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","2111","3","","yagi-9-laird","95.0","95.0","","","","","5.6","","","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","3759","1","","yagi-9-laird","35.0","35.0","","","","","6.0","","","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","3759","2","","yagi-9-laird","195.0","195.0","","","","","5.8","","","","","","","","","","terminated"
"394","1","SG-5113BBBK2672","3987","1","","yagi-9-laird","35.0","35.0","25.919617","","","","6.0","","","","","","","","","","active"
"394","1","SG-5113BBBK2672","3987","2","","yagi-9-laird","195.0","195.0","185.91962","","","","5.8","","","","","","","","","","active"
"394","1","SG-5113BBBK2672","3987","3","","yagi-9-laird","95.0","95.0","85.91962","","","","5.6","","","","","","","","","","active"
"395","1","SG-5113BBBK2674","648","1","","yagi-9-laird","0.0","0.0","350.2163","","","","12.0","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","648","2","","yagi-9-laird","230.0","230.0","220.2163","","","","11.8","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","648","3","","yagi-9-laird","120.0","120.0","110.21629","","","","11.6","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","3962","2","","yagi-9-laird","230.0","230.0","220.17029","","","","11.8","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","3962","3","","yagi-9-laird","120.0","120.0","110.17028","","","","11.6","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4254","1","","yagi-9-laird","0.0","0.0","350.1798","","","","12.0","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4254","2","","yagi-9-laird","230.0","230.0","220.1798","","","","11.8","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4254","3","","yagi-9-laird","120.0","120.0","110.179794","","","","11.6","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4254","4","","yagi-5","90.0","90.0","80.179794","","","","4.0","","","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4255","1","","yagi-9-laird","0.0","0.0","350.17694","","","","12.0","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4255","2","","yagi-9-laird","230.0","230.0","220.17693","","","","11.8","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4255","3","","yagi-9-laird","120.0","120.0","110.17693","","","","11.6","","7.6","","","","","","","","terminated"
"395","1","SG-5113BBBK2674","4256","1","","yagi-9-laird","0.0","0.0","350.16306","","","","12.0","","7.6","","","","","","","","active"
"395","1","SG-5113BBBK2674","4256","2","","yagi-9-laird","230.0","230.0","220.16306","","","","11.8","","7.6","","","","","","","","active"
"395","1","SG-5113BBBK2674","4256","3","","yagi-9-laird","120.0","120.0","110.163055","","","","11.6","","7.6","","","","","","","","active"
"396","1","SG-5113BBBK2675","670","1","","yagi-9-laird","345.0","345.0","334.8265","","","","6.0","","7.6","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","670","2","","yagi-9-laird","220.0","220.0","209.82652","","","","5.8","","7.6","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","670","3","","yagi-9-laird","100.0","100.0","89.82652","","","","5.6","","7.6","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","2016","1","","yagi-9-laird","345.0","345.0","334.822","","","","","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","2016","2","","yagi-9-laird","220.0","220.0","209.82199","","","","","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","2016","3","","yagi-9-laird","100.0","100.0","89.82198","","","","","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","2120","1","","yagi-9-laird","345.0","345.0","","","","","6.0","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","2120","2","","yagi-9-laird","220.0","220.0","","","","","5.8","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","2120","3","","yagi-9-laird","100.0","100.0","","","","","5.6","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","3741","1","","yagi-9-laird","345.0","345.0","","","","","6.0","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","3741","2","","yagi-9-laird","220.0","220.0","","","","","5.8","","","","","","","","","","terminated"
"396","1","SG-5113BBBK2675","3994","1","","yagi-9-laird","345.0","345.0","","","","","6.0","","","","","","","","","","active"
"396","1","SG-5113BBBK2675","3994","2","","yagi-9-laird","220.0","220.0","","","","","5.8","","","","","","","","","","active"
"396","1","SG-5113BBBK2675","3994","3","","yagi-9-laird","100.0","100.0","","","","","5.6","","","","","","","","","","active"
"397","1","SG-5113BBBK2678","658","1","","yagi-9-laird","0.0","0.0","","","","","6.0","","7.62","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","658","2","","yagi-9-laird","240.0","240.0","","","","","5.8","","7.62","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","658","3","","yagi-9-laird","120.0","120.0","","","","","5.6","","7.62","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","739","1","","yagi-9-laird","40.0","40.0","","","","","6.0","","7.62","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","739","2","","yagi-9-laird","315.0","315.0","","","","","5.8","","7.62","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","739","3","","yagi-9-laird","110.0","110.0","","","","","5.6","","7.62","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","2005","1","","yagi-9-laird","40.0","40.0","","","","","","","","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","2005","2","","yagi-9-laird","315.0","315.0","","","","","","","","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","2005","3","","yagi-9-laird","110.0","110.0","","","","","","","","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","2114","1","","yagi-9-laird","40.0","40.0","","","","","6.0","","","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","2114","2","","yagi-9-laird","315.0","315.0","","","","","5.8","","","","","","","","","","terminated"
"397","1","SG-5113BBBK2678","2114","3","","yagi-9-laird","110.0","110.0","","","","","5.6","","","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","654","1","","yagi-9-laird","10.0","10.0","","","","","6.0","","7.62","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","654","2","","yagi-9-laird","230.0","230.0","","","","","5.8","","7.62","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","654","3","","yagi-9-laird","120.0","120.0","","","","","5.6","","7.62","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","743","1","","yagi-9-laird","50.0","50.0","","","","","6.0","","","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","743","2","","yagi-9-laird","270.0","270.0","","","","","5.8","","","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","743","3","","yagi-9-laird","90.0","90.0","","","","","5.6","","","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","3754","2","","yagi-9-laird","270.0","270.0","","","","","5.8","","","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","3754","3","","yagi-9-laird","90.0","90.0","","","","","5.6","","","","","","","","","","terminated"
"398","1","SG-5113BBBK2799","3956","1","","yagi-9-laird","50.0","50.0","39.753334","","","","6.0","","","","","","","","","","active"
"398","1","SG-5113BBBK2799","3956","2","","yagi-9-laird","270.0","270.0","259.75333","","","","5.8","","","","","","","","","","active"
"398","1","SG-5113BBBK2799","3956","3","","yagi-9-laird","90.0","90.0","79.753334","","","","5.6","","","","","","","","","","active"
"399","1","SG-5113BBBK2822","684","1","","","","","","","","","","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","684","2","","","","","","","","","","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","684","3","","","","","","","","","","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","2018","1","","yagi-9-laird","180.0","180.0","170.34404","","","","","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","2018","2","","yagi-9-laird","300.0","300.0","290.34406","","","","","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","2018","3","","yagi-9-laird","100.0","100.0","90.34405","","","","","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","2121","1","","yagi-9-laird","180.0","180.0","","","","","6.0","","","","","","","","","","terminated"
"399","1","SG-5113BBBK2822","2121","2","","yagi-9-laird","300.0","300.0","","","","","5.8","","","","","","","","","","terminated"
